"用例编号","一级分类","二级模块","用例名称","优先级","前置条件","测试步骤","预期结果"
"CORE-KB-04","核心功能测试","知识库浏览（CORE-KB）","导读卡概念地图跳转","P2","进入「材料应用」领域","点导读卡「核心概念地图」里的任一条目","打开该知识点的详情浮窗，内容与所点条目一致"
"CORE-KB-05","核心功能测试","知识库浏览（CORE-KB）","子类 chip 筛选","P0","进入材料应用领域","1) 点「全部 49」；2) 点「塑料材料 26」；3) 点「金属材料 23」","1) 表格列出全部 49 条；2) 只列 26 条，chip 高亮；3) 只列 23 条，chip 高亮；筛选后统计行同步更新"
"CORE-KB-06","核心功能测试","知识库浏览（CORE-KB）","列表列结构完整","P1","进入任一领域","查看表头","列为：序号 / 子类 / 知识点 / 优先级 / 示意图 / 视频 / 核心要点 / 应用场景；每行「核心要点」下方另有一句加粗结论（深度解析首句）"
"CORE-KB-07","核心功能测试","知识库浏览（CORE-KB）","点击整行打开详情","P0","进入任一领域","点击某行除图片/视频外的任意位置","详情浮窗打开，标题为该行知识点名"
"CORE-KB-08","核心功能测试","知识库浏览（CORE-KB）","点缩略图只开灯箱不开详情","P1","进入有示意图的领域","1) 点击行内 36×36 缩略图；2) 关闭灯箱后再点右侧「图片按钮」","1) 只弹出图片灯箱（大图 + 图注），**不**打开详情浮窗；2) 打开该知识点详情"
"CORE-KB-09","核心功能测试","知识库浏览（CORE-KB）","无配图条目的「＋ 配图」入口","P2","找到无主图条目（共 10 条，如「钣金件常用结构形式」一类新条目）","点击该行的「＋ 配图」","打开详情浮窗，主图区显示占位卡 + 3 个外链搜图（Pixabay / Pexels / 花瓣）+ 「AI 提示词」按钮"
"CORE-KB-10","核心功能测试","知识库浏览（CORE-KB）","参考图集数量角标","P2","进入有图集的领域","查看示意图列旁的 `＋N` 角标，并与详情内图集张数比对","角标数字 = 详情浮窗参考图集实际张数（`#dpRefCount`），每条最多 3 张"
"CORE-KB-11","核心功能测试","知识库浏览（CORE-KB）","视频数量列","P2","进入任一领域","查看「视频」列","显示「▶ N」，N 等于该条 `videos` 长度；无视频的 9 条显示「＋」占位"
"CORE-KB-12","核心功能测试","知识库浏览（CORE-KB）","疑问标记图标","P2","无标记状态","1) 打开任一条详情，点「标为疑问」；2) 关闭后回到列表","该行知识点名旁出现疑问警示图标 `.doubt-ic`"
"CORE-KB-13","核心功能测试","知识库浏览（CORE-KB）","优先级筛选器","P1","进入领域视图","1) 查看顶栏 `#lvFilter` 是否出现；2) 切换不同优先级","领域视图下出现优先级下拉；切换后列表按所选优先级过滤，统计行数字随之变化"
"CORE-KB-14","核心功能测试","知识库浏览（CORE-KB）","返回总览按钮","P1","进入领域视图","点顶栏「返回」","回到知识库首页，筛选状态清空"
"CORE-KB-15","核心功能测试","知识库浏览（CORE-KB）","空结果提示","P1","进入任一领域","在搜索框输入一个不存在的词（如 `zzzz`）","表格仍在但无数据行，显示「没有匹配的知识点，换个关键词试试～」"
"CORE-KB-16","核心功能测试","知识库浏览（CORE-KB）","领域切换保持数据正确","P1","领域视图","连续快速切换 3 个领域并各自查看统计行","每次统计行「共 N 条」与「核心 N、进阶 N、了解 N」三项之和均等于该领域头部条数，无残留上一条目的内容"
"CORE-DP-01","核心功能测试","知识点详情浮窗（CORE-DP）","打开方式与定位","P0","任一列表","点击一条知识点","详情面板以**屏幕居中浮窗**出现（非右侧抽屉），最大 92vw × 92vh，内容超高时面板内部滚动，背景有遮罩"
"CORE-DP-02","核心功能测试","知识点详情浮窗（CORE-DP）","三种关闭方式","P0","详情已打开","分别测试：1) 点右上角 ✕；2) 点遮罩空白；3) 按 Esc","三种方式均能关闭浮窗并移除 `body.detail-open`"
"CORE-DP-03","核心功能测试","知识点详情浮窗（CORE-DP）","头部信息区","P1","打开「ABS」详情","查看头部","显示优先级徽章、领域图标 + 「材料应用 · 塑料材料」、标题「ABS」、meta 行显示视频源数量与配图状态"
"CORE-DP-04","核心功能测试","知识点详情浮窗（CORE-DP）","待核实内容提示","P2","打开唯一带 `todo` 的条目「钣金折弯的回弹控制」","查看头部","显示「本条含待核实内容：…」提示块；其它 223 条不显示该块"
"CORE-DP-05","核心功能测试","知识点详情浮窗（CORE-DP）","三句话速览","P1","打开任一有多段内容的条目","查看正文首屏","显示「三句话速览」：核心原理 / 关键数值 / 实操提醒，各不超过 96 字；内容不足 2 行时整块隐藏（不显示空标题）"
"CORE-DP-06","核心功能测试","知识点详情浮窗（CORE-DP）","正文区块齐全","P0","打开「ABS」","从上到下查看","依次出现：一句话记住、核心要点、应用场景与注意事项、关键经验数值速记、深度解析（5 节）、关联知识点、动手练习、视频解说、主图、参考图集、我的笔记；无数据的区块整块不渲染"
"CORE-DP-07","核心功能测试","知识点详情浮窗（CORE-DP）","深度解析五节结构","P1","打开任一有深度解析的条目","查看深度解析区","5 节齐全：核心原理 / 关键参数与公式 / 实战经验值 / 常见错误与避坑 / 相关标准与术语（224 条全覆盖，不应出现缺节）"
"CORE-DP-08","核心功能测试","知识点详情浮窗（CORE-DP）","区块锚点快速跳转","P2","详情已打开且内容较长","点顶部锚点行的「深度」「图集」等","面板内平滑滚动到对应区块；锚点行只渲染「可见且文本长度 > 2」的区块"
"CORE-DP-09","核心功能测试","知识点详情浮窗（CORE-DP）","上一条/下一条按钮","P1","从领域列表打开第 1 条","1) 查看上一条按钮；2) 连点「下一条 ›」若干次","1) 第 1 条时「‹ 上一条」为 disabled；2) 每条显示相邻条目的名称（超 9 字截断为 …），内容随之替换，面板不关闭"
"CORE-DP-10","核心功能测试","知识点详情浮窗（CORE-DP）","详情内关联跳转","P0","打开「ABS」详情","点「关联知识点」中的「PC（聚碳酸酯）」","面板不关闭，标题与内容替换为 PC，正文滚回顶部；点过之后可用「‹ 上一条」回到 ABS（顺序以当前列表为准）"
"CORE-DP-11","核心功能测试","知识点详情浮窗（CORE-DP）","关联条目过滤失效引用","P2","静态检查（可选运行时验证）","查看任一详情「关联知识点」","不出现已不存在的条目名（全库 782 个关联值 0 悬挂）"
"CORE-DP-12","核心功能测试","知识点详情浮窗（CORE-DP）","动手练习与验收点拆分","P2","打开「ABS」详情","查看「动手练习」区","显示练习标题、说明与验收点（「验收：」后的 ①②③ 被拆成独立验收条目），对应 `KB_TASK` 的 `k` 数组"
"CORE-DP-13","核心功能测试","知识点详情浮窗（CORE-DP）","视频解说卡片","P1","打开含视频的条目（215 条有视频）","查看视频区","每个视频显示平台名（B站/YouTube/腾讯视频/百度）+ 标题 + URL（超 60 字截断）；链接 `target=""_blank""` 且带 `rel=""noopener""`，点击新标签打开"
"CORE-DP-14","核心功能测试","知识点详情浮窗（CORE-DP）","无视频降级","P2","打开无视频的条目（9 条）","查看视频区","显示「暂未配置视频链接」，不出现空白卡片或破图"
"CORE-DP-15","核心功能测试","知识点详情浮窗（CORE-DP）","主图与图片灯箱","P1","打开有主图的条目","1) 查看主图；2) 点参考图集里任一张图","1) 主图按 `loading=""lazy""` 加载；2) 弹出灯箱显示大图 + 图注 + 「来源：xxx」，点 ✕ 或遮罩可关闭"
"CORE-DP-16","核心功能测试","知识点详情浮窗（CORE-DP）","无主图占位与外链","P2","打开无主图条目","查看主图区","显示「暂无示意图」占位 + 3 个外链（Pixabay / Pexels / 花瓣，URL 带条目名编码）+ 「AI 提示词」按钮 + 「搜索关键词：」一行"
"CORE-DP-17","核心功能测试","知识点详情浮窗（CORE-DP）","AI 提示词弹窗与复制","P2","打开任一条目","1) 点「AI 提示词」；2) 点「复制提示词」；3) 点「关闭」","1) 弹出提示词弹窗，内容为该条 `imgAi`，缺省时为通用模板文案；2) 按钮文字变「✓ 已复制」约 1.8 秒后还原，剪贴板内容 = 提示词全文；3) 弹窗关闭"
"CORE-DP-18","核心功能测试","知识点详情浮窗（CORE-DP）","收藏按钮与状态","P0","详情已打开","1) 点「☆ 收藏」；2) 再点一次","1) 变为「★ 已收藏」且按钮高亮，「我的收藏」角标 +1；2) 还原为「☆ 收藏」，角标 -1"
"CORE-DP-19","核心功能测试","知识点详情浮窗（CORE-DP）","疑问标记按钮","P1","详情已打开","点「标为疑问」，再点「已标疑问」","按钮文案与状态在两态间切换；切换后「我的收藏 → 我的疑问」页签内容同步增减"
"CORE-DP-20","核心功能测试","知识点详情浮窗（CORE-DP）","写笔记按钮定位与字数","P1","详情已打开","1) 点「写笔记」；2) 在笔记框输入 12 个字","1) 面板滚动到笔记区并自动聚焦输入框；2) 按钮文案变为「笔记（12 字）」"
"CORE-DP-21","核心功能测试","知识点详情浮窗（CORE-DP）","笔记自动保存","P0","详情已打开","1) 输入笔记后等待 1 秒；2) 刷新页面并重新打开该条目","1) 输入停止约 500ms 后自动落盘；2) 笔记内容完整保留（`kb-note-v1`），按钮显示字数"
"CORE-DP-22","核心功能测试","知识点详情浮窗（CORE-DP）","复制链接","P1","详情已打开","点「复制链接」，粘贴到地址栏打开","按钮文字变「已复制链接」约 1.5 秒；粘贴出的 URL 为 `?mod=kb&item=<条目名>`，新标签打开后自动切到该条目所属领域并弹出该条详情"
"CORE-DP-23","核心功能测试","知识点详情浮窗（CORE-DP）","打印/导出详情","P1","详情已打开","点「打印 / 导出」","触发打印预览：只输出该条详情内容（`.wrap` 隐藏、面板转为静态全宽），导航/操作按钮/锚点行/笔记区不打印；关闭预览后页面恢复正常（`printing-detail` 类被移除）"
"CORE-DP-24","核心功能测试","知识点详情浮窗（CORE-DP）","打开详情写入最近浏览","P1","清空 localStorage","点开 12 条不同知识点，回首页看「最近浏览」","记录 12 条，列表最多显示 8 条，底部提示「共 12 条记录，仅显示最近 8 条」；顺序为最近打开在前"
"CORE-GS-01","核心功能测试","搜索（CORE-GS）","关键词命中四大字段","P0","知识库首页","依次搜索「脱模斜度」「缩水」「ABS」","均返回结果；命中范围覆盖 名称 + 核心要点 + 应用场景 + 分类名"
"CORE-GS-02","核心功能测试","搜索（CORE-GS）","搜索视图与统计行","P0","知识库首页","输入「卡扣」","切换为搜索视图；统计行显示「全局搜索「卡扣」：共 N 条 · 已自动扩展同义词 M 个（…）」；表格多出「领域」列"
"CORE-GS-03","核心功能测试","搜索（CORE-GS）","同义词扩展生效","P1","知识库首页","搜索同义词表中的任一词（如 `Draft`），再搜其中文对应词「脱模斜度」","两次结果高度重合，说明 `KB_SYN`（340 组）扩展生效；大小写不敏感"
"CORE-GS-04","核心功能测试","搜索（CORE-GS）","跨工艺条目名带前缀","P2","搜索视图","搜索一个钣金/压铸条目（如「钣金」）","非塑料条目名带 `[钣金]` / `[压铸]` 等前缀，便于区分"
"CORE-GS-05","核心功能测试","搜索（CORE-GS）","搜索历史记录规则","P1","清空 localStorage","1) 搜索「卡扣」后回车；2) 搜索 1 个字符并回车；3) 重复搜索「卡扣」","1) 记录进历史；2) **不记录**（少于 2 字）；3) 不产生重复项，原项置顶；历史上限 12 条"
"CORE-GS-06","核心功能测试","搜索（CORE-GS）","搜索历史下拉交互","P2","已有 ≥2 条历史","1) 聚焦搜索框；2) 点任一条历史；3) 点「清空」","1) 下拉展开显示「搜索历史」+ 清空按钮 + 各条；2) 该词回填并执行搜索；3) 历史被清空，下拉收起"
"CORE-GS-07","核心功能测试","搜索（CORE-GS）","搜索框失焦与 Esc 收起历史","P2","已有历史","1) 聚焦搜索框后点击页面空白；2) 聚焦后按 Esc","1) 约 200ms 后历史下拉收起；2) Esc 收起历史"
"CORE-GS-08","核心功能测试","搜索（CORE-GS）","无结果时表头一并收起","P1","知识库首页","搜索明显不存在的词 `qqqq`","整张结果表（含表头）隐藏，改为显示「没有找到与「qqqq」匹配的知识点」+ 相近条目 chip（最多 8 个）；相近词不足 3 个时按首字匹配"
"CORE-GS-09","核心功能测试","搜索（CORE-GS）","热词兜底","P2","知识库首页","搜索 `qqqq`","若相似 chip 仍不足，给出 8 个热词（脱模斜度 / 卡扣设计 / 公差与配合 / 散热设计 / 安规认证 / 成本估算 / 表面处理 / 光学设计）"
"CORE-GS-10","核心功能测试","搜索（CORE-GS）","相近词 chip 点击","P2","出现无结果态","点击任一 chip","chip 文本写入搜索框并立即执行新搜索，结果正常显示"
"CORE-GS-11","核心功能测试","搜索（CORE-GS）","全站分组搜索","P0","知识库首页","搜索「ABS」","结果页出现「全站搜索」分组列表，搜索范围覆盖 15 类内容（术语词典、标准清单、缺陷排查、面试题库、速查手册、整机案例、一句话记忆、设计避坑、选型决策、公式与单位、领域导读、检查清单、实战模板、原理问答 + 知识库本体）；**只渲染有命中的分组**，每组显示「N 条命中」、最多 6 条预览"
"CORE-GS-12","核心功能测试","搜索（CORE-GS）","命中词高亮与溢出提示","P2","全站搜索结果","查看命中词与超出 6 条的组","命中词用 `<mark>` 高亮（不破坏 HTML 标签内部）；超出 6 条的组显示「还有 N 条，点上方标题进入模块查看全部」"
"CORE-GS-13","核心功能测试","搜索（CORE-GS）","搜索快捷键","P1","任意模块","1) 按 `/`；2) 在输入框内按 `/`；3) 按 Ctrl+K","1) 切回知识库并聚焦、全选搜索框内容；2) 输入框内不劫持（正常输入 `/`）；3) 同 1"
"CORE-QA-01","核心功能测试","原理问答（CORE-QA）","懒加载与首屏提示","P0","清空缓存并硬刷新，立即点「原理问答」","观察 Network 与页面","动态插入 12 个 `data/qa-*.js` 并显示加载提示；加载完成后自动重渲染，无需手动刷新；Console 无异常"
"CORE-QA-02","核心功能测试","原理问答（CORE-QA）","总量与领域 tab","P0","进入原理问答","查看 `#qaTabs` 与 `#qaCount`","tab 为「全部 432」+ 12 个领域；头部显示「432 问」"
"CORE-QA-03","核心功能测试","原理问答（CORE-QA）","各领域题数正确","P1","进入原理问答","逐个切换 12 个领域 tab","结构设计 43、安规认证 38、光学结构 36、其余 9 个领域各 35，合计 432（与 `qa-check.js` 输出一致）"
"CORE-QA-04","核心功能测试","原理问答（CORE-QA）","概览模式每领域预览 5 条","P1","「全部」tab、无筛选","查看正文","每个领域只预览 5 问，组标题显示「名称 N 问」，组尾有「查看「X」全部 N 问 →」"
"CORE-QA-05","核心功能测试","原理问答（CORE-QA）","查看全部按钮","P1","概览模式","点某领域的「查看「X」全部 N 问 →」","切到该领域 tab，列表显示该领域全部题目，页面滚回顶部"
"CORE-QA-06","核心功能测试","原理问答（CORE-QA）","难度筛选","P1","进入原理问答","选择难度「进阶」","只显示进阶题；顶部出现「筛选出 N 问 · 难度「进阶」」一行；N 与数据中该难度数量一致（进阶共 208 题）"
"CORE-QA-07","核心功能测试","原理问答（CORE-QA）","关键词筛选","P1","进入原理问答","在搜索框输入「PC」","全量输出命中的题目，顶部显示关键词筛选说明；无匹配时显示「没有匹配的问答，换个关键词或难度试试～」"
"CORE-QA-08","核心功能测试","原理问答（CORE-QA）","题目卡片结构","P0","进入任一领域","查看任一题卡","显示序号 / 题干 / 难度标签（基础·进阶·易错转不同样式）/ 题型标签（判断题、计算题、情景题；选择题不显示题型标签）/ 答案行（选择题显示「答案 X 选项文本」，判断题只给结论）"
"CORE-QA-09","核心功能测试","原理问答（CORE-QA）","展开/收起解析","P0","进入任一领域","1) 查看默认状态；2) 点「收起解析」；3) 点「展开解析」","1) 解析默认展开；2) 收起后按钮变「展开解析」；3) 恢复展开；按钮文案与状态始终对应"
"CORE-QA-10","核心功能测试","原理问答（CORE-QA）","其他选项为什么不对","P1","打开选择题解析","查看解析下部","逐项列出每个错误选项的原因，条数与选项数-1 一致（432 题全覆盖，`w` 数组）"
"CORE-QA-11","核心功能测试","原理问答（CORE-QA）","判断题/计算题/情景题渲染","P2","筛选或翻找","各找 1 道 `tf`、`calc`、`scene` 题查看","判断题 2 个选项、只给结论；计算题给出计算过程与结果；情景题给出现场现象与对策；均不出现空解析"
"CORE-QA-12","核心功能测试","原理问答（CORE-QA）","题干唯一性","P2","数据校验（或全量翻查）","执行 `node qa-check.js`","「✓ 全部通过」，无重复题干、无重复题目 id、无 `w[a]` 非空（正确项说明必须为空）"
"CORE-QA-13","核心功能测试","原理问答（CORE-QA）","深链直达单题","P2","拿到任一题目 id","打开 `?mod=qa&q=<题目id>`","直接进入原理问答并定位到该领域，题目滚动到可视区域"
"CORE-PS-01","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","收藏页三页签","P1","进入「我的收藏」","查看页签","三个页签：我的收藏（带计数）/ 我的笔记 / 我的疑问"
"CORE-PS-02","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","收藏列表按时间倒序","P1","依次收藏 A、B、C 三条","打开「我的收藏」","顺序为 C、B、A；每条显示条目名，点击打开详情"
"CORE-PS-03","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","移出收藏不触发打开详情","P1","收藏页有数据","点某条的「移出」按钮","该条被移出列表，收藏数 -1，**不**打开详情浮窗（事件未冒泡）"
"CORE-PS-04","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","收藏项数据失效过滤","P2","静态验证（或改数据模拟）","检查收藏页渲染逻辑","只渲染仍存在于 `KB_ITEMS` 的收藏项，已不存在的名字不显示但仍保留在存储中"
"CORE-PS-05","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","笔记汇总页","P1","有 2 条笔记","打开「我的笔记」","按笔记长度倒序显示全部笔记全文（保留换行），每条有「删除笔记」"
"CORE-PS-06","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","删除笔记","P1","笔记页有数据","点「删除笔记」确认","该条笔记消失，「笔记」页签计数 -1，详情面板内笔记框清空"
"CORE-PS-07","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","疑问列表与「搞懂了」","P1","标记 2 条疑问","1) 打开「我的疑问」；2) 点某条「搞懂了」","1) 按标记时间倒序显示；2) 该条移出列表，列表中该行的疑问图标消失"
"CORE-PS-08","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","三页签空态引导","P1","清空 localStorage","依次查看三个页签","均显示引导式空态卡（图标 + 标题「还没有收藏 / 还没有标过疑问 / 还没有笔记」+ 说明 + 3 步指引 + 行动按钮）"
"CORE-PS-09","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","空态行动按钮跳转","P2","处于空态","点空态卡的行动按钮","跳转到知识库模块"
"CORE-PS-10","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","数据持久化跨会话","P0","收藏 + 笔记 + 疑问各 1 条","关闭浏览器重开同一页面","三类数据全部保留（`kb-fav-v1` / `kb-note-v1` / `kb-doubt-v1`），角标数字正确"
"CORE-PS-11","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","角标实时刷新","P1","任意模块","收藏/取消收藏若干条，观察导航角标","「我的收藏」角标数字立即变化，无需刷新"
"CORE-PS-12","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","最近浏览上限与清理","P2","清空 localStorage","打开 35 条知识点","存储中最多 30 条（保留最近），页面最多展示 8 条并给出总数提示"
"CORE-PS-13","核心功能测试","个人数据：收藏 / 笔记 / 疑问 / 最近浏览（CORE-PS）","个人数据互不干扰","P1","已有收藏与笔记","取消某条收藏","该条的笔记与疑问状态不受影响，仍可在笔记页看到"
"CORE-PC-01","核心功能测试","工艺维度体系（CORE-PC）","工艺行 5+1 个按钮","P1","首屏","查看 `#procRow`","「全部」+ 塑料成型 / 钣金冲压 / 压铸铝 / 挤压铝型材 / 跨工艺通用"
"CORE-PC-02","核心功能测试","工艺维度体系（CORE-PC）","点击工艺进入工艺页","P0","首屏","点「钣金冲压」","进入工艺页：图标 + 名称 + 描述 + 5 格 meta（知识点数 / 核心必会 / 典型场景 / 典型产品 / 成本量级）；钣金条目 19 条"
"CORE-PC-03","核心功能测试","工艺维度体系（CORE-PC）","再点当前工艺回到全部","P1","已选中「钣金冲压」","再次点击「钣金冲压」","回到「全部」状态（工艺筛选被清除）"
"CORE-PC-04","核心功能测试","工艺维度体系（CORE-PC）","工艺选择持久化","P1","已选「压铸铝」","刷新页面","仍停留在压铸铝工艺页（`kb-proc-v1`）"
"CORE-PC-05","核心功能测试","工艺维度体系（CORE-PC）","维度 tab 与计数","P1","进入「塑料成型」工艺页","查看 `#procDimTabs`","显示「全部 136」+ 五个维度（材料特性 / 典型设计要点 / 常见结构形式 / 制造约束与注意事项 / 常见设计缺陷与规避）各自计数"
"CORE-PC-06","核心功能测试","工艺维度体系（CORE-PC）","多值归属说明","P2","进入任一工艺页","查看维度统计说明","明确提示「条目可多值归属，故维度合计 > 条目数」之类的说明文案，且各维度计数之和确实大于条目数"
"CORE-PC-07","核心功能测试","工艺维度体系（CORE-PC）","维度筛选与空态","P1","进入「钣金冲压」","逐个点五个维度 tab","有内容的维度列出条目；计数为 0 的维度显示空态「…维度暂无条目 —— 分类框架已就绪…」，且该维度数字标红"
"CORE-PC-08","核心功能测试","工艺维度体系（CORE-PC）","表格分类标签","P2","工艺页有条目","查看第 2 列","显示形如「塑料 · 制造约束与注意事项」的分类标签"
"CORE-PC-09","核心功能测试","工艺维度体系（CORE-PC）","底部关联宝典跳转","P1","进入任一工艺页","点底部「本工艺相关的实战宝典」中的 chip","跳到实战宝典模块并切到对应分类，约 140ms 后滚动到该内容组"
"CORE-PC-10","核心功能测试","工艺维度体系（CORE-PC）","缺口提示","P2","进入「挤压铝型材」","查看底部宝典区","列出「缺口：X / Y 维度暂无知识点」；若两组皆空则显示说明卡"
"CORE-PC-11","核心功能测试","工艺维度体系（CORE-PC）","工艺页深链","P2","无","打开 `?proc=sheet&dim=material`","直接进入钣金冲压工艺页并选中「材料特性」维度"
"OTHER-SEL-01","其他功能测试","选型决策（OTHER-SEL）","五棵决策树 tab","P1","进入「选型决策」","查看 `#selTabs`","5 棵树：选材料 / 选成型工艺 / 选表面处理 / 选紧固方式 / 选散热方案；默认进入第一棵"
"OTHER-SEL-02","其他功能测试","选型决策（OTHER-SEL）","切树重置状态","P1","在「选材料」里已走到第 3 步","切到「选表面处理」再切回","两棵树都回到各自的起始节点，不保留上次路径（切树即重置当前节点与路径）"
"OTHER-SEL-03","其他功能测试","选型决策（OTHER-SEL）","问答步进与面包屑","P0","进入「选材料」","连续选择 3 步选项","每步显示「第 N 步」+ 题干 + 带序号的选项按钮；顶部面包屑累积显示已选路径；无路径时显示「从这里开始 ↓」"
"OTHER-SEL-04","其他功能测试","选型决策（OTHER-SEL）","返回上一步与重新开始","P1","已走到第 3 步","1) 点「‹ 返回上一步」；2) 点「↺ 重新开始」","1) 回到第 2 步，面包屑同步回退；2) 回到起始节点，面包屑清空，返回按钮消失"
"OTHER-SEL-05","其他功能测试","选型决策（OTHER-SEL）","结论页内容","P1","走到任一叶子节点","查看结论","显示「推荐结论」标题 + 「为什么推荐它」（列表）+ 「要特别注意」（列表）+ 提示 note + 「深入看这些知识点」chip"
"OTHER-SEL-06","其他功能测试","选型决策（OTHER-SEL）","结论跳知识点","P1","处于结论页","点「深入看这些知识点」中任一 chip","打开对应知识点详情浮窗，内容与 chip 一致"
